row_type,Column1,team_name,country,country_iso,bf_team1,bf_fuzzy1,bf_team2,bf_fuzzy2,bf_team3,bf_fuzzy3,bf_team4,bf_fuzzy4,bf_team5,bf_fuzzy5,bf_team6,bf_fuzzy6,bf_team7,bf_fuzzy7,bf_team8,bf_fuzzy8,bf_team9,bf_fuzzy9,bf_team10,bf_fuzzy10,bf_team11,bf_fuzzy11,bf_team12,bf_fuzzy12,bf_team13,bf_fuzzy13,manual_insertion1stround,manual_insertion2ndround
bf_teamnames,22,Aldosivi,Argentina,AR,Aldosivi,100,CA Aldosivi Reserves,90,LDU,60,Club Ateneo Pablo VI,56,Club Arsenal de Viale,56,Bolivia,53,All Boys,50,Alvarado,50,ADIP,50,CA Deportivo,50,Palestino,47,Deportivo Riestra,45,Independiente Rivadavia,45,,
names_match,22,Aldosivi,Argentina,AR,1,100,0,90,0,60,0,56,0,56,0,53,0,50,0,50,0,50,0,50,0,47,0,45,0,45,,
bf_teamnames,11,Argentinos Juniors,Argentina,AR,Argentinos Juniors,100,Argentinos Juniors Res,95,Argentinos Juniors Reserves,90,Junior,90,Argentinos Jrs,88,Boca Juniors,86,Arg Juniors,86,Argentinos Jr,84,Argentina,80,Argentino de Quilmes,68,CA Argentinos 25 Mayo,67,Argentino Merlo,67,Boca Juniors Res,67,,
names_match,11,Argentinos Juniors,Argentina,AR,1,100,0,95,0,90,0,90,1,88,0,86,1,86,1,84,0,80,0,68,0,67,0,67,0,67,,
bf_teamnames,13,Arsenal,Argentina,AR,Arsenal FC,95,Arsenal FC (Arg),90,Arsenal de Sarandi,90,Club Arsenal de Viale,90,V Arenas,67,CA Victoriano Arenas,64,Victoriano Arenas,64,Velez Sarsfield,64,CSyD Lastenia,64,Sansinena,62,Argentina,62,Barracas Central,61,Real Pilar FC,61,,
names_match,13,Arsenal,Argentina,AR,1,95,1,90,1,90,0,90,0,67,0,64,0,64,0,64,0,64,0,62,0,62,0,61,0,61,,
bf_teamnames,15,Atlético Rafaela,Argentina,AR,Atletico Rafaela,97,Rafaela,90,Atl Rafaela,85,Atletico Parana,73,Atletico Carcarana,73,Atletico Mitre,69,Atletico Barracas,69,Atletico PR,69,9 de Julio Rafaela,67,CA 9 de Julio (Rafaela),65,Atletico San Jorge,64,Club Atletico Parana,63,Atletico MG,62,,
names_match,15,Atlético Rafaela,Argentina,AR,1,97,1,90,1,85,0,73,0,73,0,69,0,69,0,69,0,67,0,65,0,64,0,63,0,62,,
bf_teamnames,11,Atlético Tucumán,Argentina,AR,Atletico Tucuman,93,Club Atletico Tucuman,84,Atl Tucuman,80,Atletico MG,72,Atletico Camioneros,67,Atletico Mitre,64,Club Atletico Atlanta,64,Atletico PR,64,Argentino Atletico Club,64,Club Atletico Racing de ,64,San Martin-Tucuman Res,64,Club Atletico Acassuso,63,Atletico Parana,62,,
names_match,11,Atlético Tucumán,Argentina,AR,1,93,1,84,1,80,0,72,0,67,0,64,0,64,0,64,0,64,0,64,0,64,0,63,0,62,,
bf_teamnames,6,Banfield,Argentina,AR,Banfield,100,LDU,72,Velez Sarsfield,68,Brazil,57,San Miguel,56,Boca Unidos,53,Rafaela,53,Canuelas,50,Santa Fe,50,CA San Miguel,48,San Telmo,47,Sansinena,47,Estudiantes de Caseros,45,,
names_match,6,Banfield,Argentina,AR,1,100,0,72,0,68,0,57,0,56,0,53,0,53,0,50,0,50,0,48,0,47,0,47,0,45,,
bf_teamnames,14,Belgrano,Argentina,AR,Belgrano,100,Defensores de Belgrano,90,Sportivo Belgrano,90,Def Belgrano VR,90,Def Belgrano,90,Belgrano San Nicolas,90,CAYS Defensores de Belgrano,90,Sport Belgrano,90,CA Belgrano de Parana,90,D. Belgrano VR,90,CA Belgrano de Arequito,90,Sportivo Belgran,84,Lugan,72,,
names_match,14,Belgrano,Argentina,AR,1,100,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,84,0,72,,
bf_teamnames,10,Boca Juniors,Argentina,AR,Boca Juniors,100,Boca Juniors Res,95,Junior,90,Boca Unidos,87,Argentinos Juniors,86,Argentinos Juniors Reserves,86,Argentinos Juniors Res,86,Arg Juniors,78,CA Colon Junior,67,CA Liniers,64,Defensores Boca,64,CA Nunorco,64,CA Lugano,57,,
names_match,10,Boca Juniors,Argentina,AR,1,100,0,95,0,90,0,87,0,86,0,86,0,86,0,78,0,67,0,64,0,64,0,64,0,57,,
bf_teamnames,15,Central Córdoba SdE,Argentina,AR,Central Cordoba (SdE),95,Central Cordoba,85,Central Cordoba (Ros),84,CA Central Cordoba,78,C Cordoba,70,Central Ballester,69,CA Central Norte,67,Central Norte,66,CSD Central Balleste,65,Rosario Central,64,CSD Central Ballester,64,Barracas Central,62,CA Penarol de Cordoba,62,,
names_match,15,Central Córdoba SdE,Argentina,AR,1,95,1,85,0,84,1,78,1,70,0,69,0,67,0,66,0,65,0,64,0,64,0,62,0,62,,
